title,abstract,publication_date,url
Приоритеты развития агропромышленного комплекса Краснодарского края в условиях санкционного давления,"В статье исследованы приоритеты развития агропромышленного комплекса Краснодарского края в условиях санкционного давления. Исследовано влияние санкционного давления на деятельность предприятий агропромышленного комплекса. Проведен анализ производственно-экономического положения аграрного предприятия Краснодарского края, а именно проанализированы финансовые результаты, рентабельность хозяйственной деятельности, а также товарная структура ООО СХП «Дмитриевское». Предложены мероприятия по повышению эффективности деятельности аграрного предприятия. This scientific article examines the priorities of the development of the agro-industrial complex of the Krasnodar Territory in the context of sanctions pressure. The influence of sanctions pressure on the activities of agro-industrial enterprises has been studied. The analysis of the production and economic situation of the agricultural enterprise of the Krasnodar Territory was carried out, namely, the indicators of financial results, profitability of economic activity, and the commodity structure of LLC SHP Dmitrievskoye were analyzed. As a result, measures are proposed to improve the efficiency of the agricultural enterprise.",2025-04-01,
Economic Disobedience and Alternative Economies: The Role of Boycotts and Informal Trade Networks in Contesting State Authority in Cameroon’s North West Region,"In this study, I examine economic disobedience as a potent form of resistance within the North West Region of Cameroon, where targeted boycotts and informal trade networks actively challenge the authority of the central state. Drawing on fieldwork conducted from March to June 2023 in key areas of the North West Region of Cameroon, focusing on economic disobedience and informal trade, in-depth interviews, and local financial data analysis, this paper adopts an analytical framework rooted in the theories of monetary sovereignty and resistance economies as articulated by Scott (1985) and Bayart (1993). This approach illuminates how communities in this region mobilize economic defiance in response to perceived state neglect and governance inadequacies.The findings reveal that boycotts against enterprises and commodities associated with the state have evolved from spontaneous acts of dissent into organized economic strategies that serve as symbolic rejections of state control. These boycotts represent a calculated form of economic independence, manifesting as a collective, politicized decision to withdraw participation from economic channels regulated by the state, which local actors perceive as oppressive. Furthermore, the research sheds light on the role of informal trade networks, especially those facilitating cross-border transactions with Nigeria, as alternative economic systems that bypass official state mechanisms. Such networks effectively mitigate critical supply shortages, circumvent state-imposed tariffs and taxes, and undermine the government’s regulatory influence over the region’s economy.These forms of economic disobedience expand upon the notion of resistance economies (Scott, 1985; Bayart, 1993), framing ""economic disobedience"" as intentional acts of defiance that assert economic sovereignty and agency, thereby undermining state authority and destabilizing formal economic systems within the region. While rooted in pragmatic economic responses to state marginalization, this defiance enhances the fragility of state power in areas where informal economies are deeply embedded, and formal compliance remains insubstantial. These findings invite a reconsideration of economic governance approaches in politically contested regions, demonstrating that alternative economies and systematic disobedience not only disrupt formal economic structures but also empower marginalized communities to re-envision their economic agency and autonomy. Thus, this study makes a substantive contribution to the discourse on resistance economies, illustrating how economic dissent can destabilize state structures and redefine local conceptions of authority and independence. It also advances defiant scholarship in Africa by highlighting grassroots economic resistance as a reimagining of agency and power in postcolonial contexts.",2025-03-31,
Marine trader’s method of payment and level of satisfaction towards infrastructural facilities of dry ports in India – an empirical study,"All commodities and services moved by sea require at least two seaports; the importance of seaports to the smooth operation of an economy cannot be overstated. Maritime transport is used for most of the domestic and international trade (import/export). Due to a shortage of contemporary equipment and human resources throughout India, the shipping industry is experiencing delays in the transportation process for both imports and exports. Further shipping industry personalities are facing financial challenges related to the overseas transaction between two or more countries due to the huge payment formalities in India. India’s shipping industry one of the backbones of Indian economy. In near future, the ministry of commerce and industry must take considerable steps for improving the effective method of payments as well as marine traders level satisfaction towards developing infrastructural facilities in dry port for utilize the great opportunities of shipping industry earnings to strengthen the India’s BOP position as well as economic position and export-import volume in the world trade market.",2025-03-31,
Sustainability of modular refinery operation in Nigeria: Product quality and value chain,"The modular refineries in Nigeria have the potential to create a bigger quantity of commodities while keeping the quality of those goods, and to deliver those products to their end customers in a manner that is both more expedient and more cost-effective. As a method of contributing to the nation's energy security and economic expansion, the purpose of this evaluation is to evaluate and improve the long-term sustainability of the product quality and value chain of modular refineries. To compile articles pertinent to the subject, ""Google scholar"" was used. To perform the analysis on the data that was obtained, methodologies for the foresight and analysis of material and energy projects, descriptive statistics, and life cycle cost analysis were used. Using the right techniques of financial management for infrastructure projects, indicators of profitability were estimated. These indicators included levelized costs of petroleum products, Net Present Value (NPV), Break-even and Payback Period, and return on investment. According to the findings, to assure the ongoing growth of modular refinery operations in Nigeria, it is vital to have a strategy that is both comprehensive and well-coordinated. Modular refineries can realize their full potential, which would contribute to energy security, economic prosperity, and environmental responsibility. For Nigeria to be able to establish a modular refinery sector that is both sustainable and profitable in its product quality and value chain, it is required for government agencies, industry players, and local communities to be committed and engaged in the process.",2025-03-30,
Трансформация структуры индийской внешней торговли в условиях антироссийских санкций: на примере товарного экспорта,"Особенностью индийской внешней торговли является ее дефицитный хронический характер, который берет свое начало с момента обретения страной независимости. Предпосылкой к его складыванию первоначально явилось серьезное отставание в уровне развития производительных сил, что потребовало, в свою очередь, масштабного обращения к закупкам технологий, станков и промышленной продукции для создания новых предприятий или модернизации уже существующих предприятий отраслей индийской промышленности. Реализация Пятилетних Планов, идеалов модернизации и целей экономической и промышленной политики потребовали еще больших закупок импортной продукции. Актуальность данного исследования определена тем, что за последние 24 финансовых года в динамике, географии и номенклатуре внешней торговле Индии произошли очень значительные изменения, связанные не только с трансформацией национальной и внешней экономической политики, либерализацией внешней торговли и инвестиционной сферы, но и геополитическими факторами, а именно: вводом антироссийских санкций, разворотом российской внешней торговли «на Восток», увеличением Индией закупки российских энергоносителей и, как следствие, усилением позиций Индии на мировом рынке топливно-энергетических ресурсов. Авторами было выявлено изменение не только географии, но и номенклатуры индийского товарного экспорта в направлении стран — экспортеров сырья и топливно-энергетических ресурсов. Однако, потенциально возможное воздействие на Правительство Индии со стороны США, может, некоторым образом, изменить текущее положение дел. Gardening The peculiarity of Indian foreign trade is its chronic deficit, which dates back to the country's independence. The prerequisite for its formation was initially a serious lag in the level of development of the productive forces, which required, in turn, a large-scale approach to the purchase of technologies, machine tools and industrial products to create new enterprises or modernize existing enterprises in Indian industries. The implementation of Five-year Plans, modernization ideals, and economic and industrial policy goals required even greater purchases of imported products. The relevance of this study is determined by the fact that over the past 24 financial years, very significant changes have taken place in the dynamics, geography and nomenclature of India's foreign trade, related not only to the transformation of national and foreign economic policy, the liberalization of foreign trade and investment, but also to geopolitical factors, namely, the introduction of anti-Russian sanctions, the reversal of Russian foreign trade «to the East», India's increased purchases of Russian energy resources and, as a result, the strengthening of India's position in the global market of fuel and energy resources. The authors revealed a change not only in the geography, but also in the nomenclature of Indian commodity exports in the direction of exporting countries of raw materials and fuel and energy resources. However, the potential impact on the Indian Government from the United States may change the current state of affairs in some way.",2025-03-29,
Mapping The Web Of Knowledge: A Bibliometric Analysis Of Stock Markets Interlinkage,"The current study aims to provide an overview of existing research on stock market interlinkage and recommend further research directions. The study performed a bibliometric analysis of 1537 Scopus-indexed papers published since 2000 using biblioshiny under the bibliometrix R package. It describes the status of publications, publication trend, the top productive contributor, the leading influential contributor, the most frequently used keywords, important themes, research collaboration network, co-citation network, and scope of future research. Overall, this analysis contributes to a better understanding of the linkage between stock markets and provides insights for policymakers, managers, analysts, investors, and researchers in this field. More research needs to be conducted to investigate the connections between various financial markets, including the stock, bond, commodity, and currency markets, using statistical models with machine learning algorithms to understand better how financial market interlinkage can affect diversification opportunities and risk management strategies",2025-03-29,
"The role of integrated prawn farming in climate change adaptation in Bangladesh: ecosystem services, economic viability and barriers","The integrated rice-prawn-vegetable culture (RPVC) is an effective farming method that ensures the efficient utilization of water and land. This study aims to evaluate the role of RPVC in climate change adaptation, its ecosystem services, and economic sustainability in Bangladesh. Integrated RPVC provides farmers with ecosystem services, including reducing use of the fertilizers and insecticides and lowering financial instability. The vegetable platform shades prawn ponds naturally, while prawns consume insects in rice fields. After rice plants are harvested, their roots can serve as food for prawns. Majority of the respondents (85%) reported that adopting RPVC increased the overall productivity. Farmers faced a variety of climatic hazards; ranked as: drought (86.3%) &gt; erratic and sudden heavy rainfall (81.5%) &gt; temperature fluctuation (69.6%) &gt; salinity intrusion (67.2%) &gt; storm (28.5%). The ecosystem services provided by RPVC helped farmers to mitigate the adverse impacts of these climate-induced challenges through ecosystem-based adaptation. Integrated RPVC has also enabled farmers to maintain a consistent cash flow throughout the year. By promoting the production of multiple commodities—rice, prawns, and vegetables—the system reduces the risk of financial destitution. Despite benefits, farmers also encountered several challenges in implementing RPVC including water shortage (85.2%), disease (73.5%), theft (60.4%), increased feed costs (70.7%), lack of information (65%), increased labor cost (58.8%), and not getting expected market value of farming products (63.2%). However, if these barriers are addressed, the integrated RPVC system holds significant potential to foster long-term socio-economic growth in the southwest region of Bangladesh.",2025-03-28,
The Parameter on the Obligation of Zakat on the Pledge Asset to Collateralised Commodity Murabahah,"Purpose — Collateralised Commodity Murābaḥah (CCM) is a product utilised by Islamic banking institutions as a liquidity management instrument to ensure their financial sustainability. One of the key features of this product is the presence of an asset classified as a High-Quality Liquid Asset (HQLA), which is pledged as collateral for the incidental debt of the deferred payment required by the murābaḥah contract between the purchasing bank and the financing bank. Although the asset is pledged as collateral, it remains under the ownership of the purchasing bank. Due to that, following the opinion of the majority of the jurists, the bank, as the asset owner, is obligated to pay zakat. The question posed is: what are the parameters to substantiate this argument? This study therefore explores the Sharīʿah perspective on the obligation to pay zakat on assets pledged as collateral for a debt created by the CCM product. It also discusses the reasoning applied to this fiqh (Islamic jurisprudence) opinion. This is done to propose a parameter applicable to determine the zakatability of pledged assets in the CCM agreement. Design/Methodology/Approach — This study employed a qualitative research methodology. It collected data through inductive document analysis and semi-structured interviews searching for the views of the fuqahāʾ (Islamic scholars) and relevant respondents with regards to the obligation of zakat on the pledged assets. The collected data was then analysed using a deductive approach by conducting an Islamic juridical analytical process to derive the applicable fiqh opinion for pledged assets used as collateral in the CCM product. Findings — This research proposes full ownership and growth as two additional parameters to use together with other existing zakat parameters in establishing the zakatability of the pledged asset in the CCM product. Originality/Value — This research discusses a grey area with respect to zakat obligations of business institutions. It proposes new elements to be taken into account by the institutions as their self-regulatory benchmark to ensure they contribute towards the sustainability of societal progress via the zakat instrument. Practical Implications — These parameters are applicable as a self-regulatory benchmark for Islamic banks to ensure that they fulfil their responsibility as institutions that uphold Islamic values in their business. The findings also have the potential to be applied by regulators such as Bank Negara Malaysia and religious authorities in Malaysia as additional elements of zakat parameters for the financial institutions under its regulation.",2025-03-27,
A Hybrid Deep Learning Approach for Rice Plant Disease Detection,"The agricultural sector necessitates automated identification and analysis of rice diseases to conserve financial and other resources, mitigate yield loss, enhance processing efficiency, and secure healthy crop harvests. Rice is an essential commodity for global food security; however, it is very vulnerable to numerous illnesses that can markedly diminish productivity. Timely identification and precise forecasting of these diseases are crucial for reducing losses. Conventional image-based disease detection techniques frequently utilise Convolutional Neural Networks (CNNs) to extract spatial information; however, they inadequately account for the temporal evolution of diseases, which is essential for efficient monitoring and diagnosis. This research proposes a hybrid model that integrates a Hierarchical Convolutional Recurrent Neural Network (HCRNN) with Long Short-Term Memory (LSTM) networks for the prediction of rice plant illnesses. The HCRNN extracts multi-scale spatial characteristics from rice plant pictures, whilst the LSTM network models temporal relationships in disease progression, hence augmenting predicting capabilities. This integrated methodology enhances performance by integrating spatial and temporal information. We assessed the model using a dataset of rice plant leaf pictures impacted by multiple diseases, including bacterial leaf blight, blast, and sheath blight. The proposed model exhibited enhanced performance, with an accuracy of 98.5%, above that of conventional CNN-based models. This method also resolves the challenge of limited datasets by accurately tracking disease development across time. The findings indicate that the integration of HCRNN with LSTM establishes a resilient framework for predicting rice diseases. The suggested approach is adaptable to additional crops and disease categories, providing a scalable solution for precision agriculture and disease management. Subsequent efforts will concentrate on incorporating environmental variables, including soil and meteorological data, to augment predictive accuracy.",2025-03-27,
Synthetic Assets: New Finance Instruments and New Investment Opportunities,"The article discusses the concept of new financial instruments, known as synthetic assets, which combine traditional finance with blockchain and decentralized finance (DeFi). These synthetic assets are digital tokens that are created artificially using derivatives. They aim to replicate the characteristics of realworld assets, such as stocks, commodities, and currencies, allowing investors to access these assets without owning them directly. These platforms are powered by smart contracts, which enable access to previously inaccessible markets. The author examines the various classifications, operational models, advantages, regulatory challenges, and potential for future growth and integration of synthetic assets into the global financial system. These synthetic assets are classified based on their underlying asset and liquidity/maturity, and their functionality is based on real-time price predictions transmitted through external tools to the blockchain. Key operational principles for synthetic assets include imitating the behavior of their underlying assets, decentralized operation through the use of smart contracts, the use of collateral, often in the form of cryptocurrencies, and mechanisms to increase liquidity. Various strategies, such as the use of derivatives and leverage, are employed in the trading of these assets. The differences between synthetic assets and other financial instruments are discussed. Synthetic assets have several advantages compared to traditional, tokenized, and derivative assets. These include accessibility, improved risk management, partial ownership, lower transaction costs, programmability, and potentially higher liquidity. However, there are also significant risks associated with synthetic assets, such as volatility due to underlying cryptocurrencies, regulatory uncertainty, and the dependence on price forecasts. The author also considers regulatory and law enforcement issues regarding the classification and decentralized nature of these assets.",2025-03-27,
Mitigating Production Risks for Smallholder Soyabean Farmers in Chongwe District: Examining the Role of Commodity Markets,": This study investigates the challenges faced by smallholder soyabean farmers in Chongwe District, Zambia, focusing on mitigating production risks through financial and market-based interventions. Smallholder farmers are highly vulnerable to climate variability, price fluctuations, and limited access to structured risk management tools, which compromise their economic stability and productivity. The study explores the role of micro-insurance, structured commodity markets, and financial literacy initiatives in enhancing resilience among these farmers. Using a mixed-methods approach that combines qualitative interviews with key stakeholders and quantitative surveys conducted among smallholder farmers, the study finds that despite the potential benefits of financial risk management tools such as weather-index insurance and futures contracts, their adoption remains low due to factors such as high costs, limited awareness, and logistical constraints. Additionally, the research highlights that a lack of financial literacy impedes farmers' ability to make informed decisions regarding risk management, further exacerbating economic vulnerability. To address these challenges, the study recommends tailored financial literacy programs, improved accessibility to structured markets, and the development of affordable micro-insurance products suited to smallholder farmers' needs. By bridging the gap between existing financial instruments and farmers' practical realities, these interventions have the potential to enhance agricultural sustainability and economic resilience. The findings contribute to policy discussions aimed at fostering inclusive financial systems and strengthening agricultural risk management frameworks in Zambia and similar contexts in Sub-Saharan Africa.",2025-03-26,
Volatility Modeling of the Impact of Geopolitical Risk on Commodity Markets,"This study analyses the impact of the Geopolitical Risk Index (GPR) on the volatility of commodity futures returns from 4 January 2010 to 30 June 2023, using Exponential Generalized Autoregressive Conditional Heteroskedasticity (EGARCH) models. It expands the research scope to include precious metals, agricultural products, energy, and industrial metals. The study differentiates between the impacts of geopolitical threat events and actions using GPRACT and GPRTHREAT indicators. Findings reveal that negative geopolitical shocks increase commodity returns’ volatility more than positive shocks. Specifically, gold, silver, and natural gas are negatively affected, while wheat, corn, soybeans, cotton, zinc, nickel, lead, WTI oil, and Brent oil experience positive effects. Platinum, cocoa, coffee, and copper show no significant impact. These insights highlight the importance of geopolitical risks on commodity market volatility and returns, aiding in risk management and portfolio diversification. Policymakers, financial market stakeholders, and investors can leverage these findings to better understand the GPR’s relationship with commodity markets and develop effective strategies.",2025-03-26,
"Financialisation, interdependence of futures markets and cereal prices’ volatility: what impact on major cereal importing countries? Algerian case study","The aim of our contribution is to take stock of recent developments on futures markets and their impact on physical commodity markets, particularly the cereals market, and how this affects the Algerian economy. To do this, we rely on a theoretical and descriptive analysis of the state of the world markets and local demand for cereals in order to identify the price transmission channels. The analysis reveals a bitter reality in terms of the dependence of physical markets on financial speculators, which does not rule out the hypothesis of an indirect negative impact on economic variables in developing countries, particularly the Algerian economy. However, the development of the agri-food industry is an asset for absorbing the impact of volatile world cereal prices.",2025-03-25,
STRATEGI PEMASARAN IKAN NILA UNTUK KEBERLANJUTAN UNIT BISNIS PERIKANAN UNIVERSITAS MUHAMMADIYAH SIDENRENG RAPPANG,"As a fishery commodity with high economic value, tilapia has great potential to be developed through a planned marketing approach. This study aims to analyze the development strategy of the Fisheries business unit at the University of Muhammadiyah Sidenreng Rappang. This study uses the purposive sampling method to select respondents from UMSR fisheries business unit managers, UMSR academics, and government agencies of Sidenreng Rappang Regency. The data was analyzed using SWOT analysis to identify internal (strengths and weaknesses) as well as external (opportunities and threats) faktors that affect business development. The results of the study show that the main strength of the business unit lies in the fact that the tilapia that is cultivated has excellent quality, due to the professional management system, while the significant weakness is the limitation of marketing networks and financial resources. The biggest opportunity is the support from the Sidenreng Rappang Regency government in the development of tilapia cultivation in the UMSR fishery business unit. However, fierce competition and raw material prices are the main threats. Recommended priority strategies include product diversification by processing tilapia into fillets, nuggets, or other value-added products. Strengthening branding through digital marketing to expand market reach and expand distribution networks through collaboration with major distributors and the use of e-commerce.",2025-03-25,
